contract_id,vendor_id,contract_payment_term,agreement_type,contract_start_date,contract_end_date
CT000001,V00001,60,Standard,2024-03-22,2027-10-24
CT000002,V00002,30,Exception,2024-05-10,2027-12-31
CT000003,V00003,30,Strategic,2024-05-15,2027-06-19
CT000004,V00004,30,Standard,2024-03-25,2027-10-04
CT000005,V00005,60,Standard,2024-05-05,2027-10-27
CT000006,V00006,60,Standard,2024-04-07,2027-02-12
CT000007,V00007,30,Strategic,2024-03-10,2027-09-10
CT000008,V00008,60,Standard,2024-04-17,2027-05-04
CT000009,V00009,30,Strategic,2024-02-28,2027-02-18
CT000010,V00010,60,Standard,2024-06-20,2027-03-04
CT000011,V00011,90,Standard,2024-05-09,2027-02-11
CT000012,V00012,60,Standard,2024-05-13,2027-11-24
CT000013,V00013,60,Standard,2024-05-09,2027-10-09
CT000014,V00014,90,Strategic,2024-03-21,2027-02-07
CT000015,V00015,30,Standard,2024-06-20,2027-08-17
CT000016,V00016,30,Standard,2024-02-07,2027-08-30
CT000017,V00017,30,Standard,2024-04-12,2027-07-09
CT000018,V00018,60,Standard,2024-01-13,2027-08-10
CT000019,V00019,60,Standard,2024-02-23,2027-11-28
CT000020,V00020,60,Standard,2024-04-13,2027-07-09
CT000021,V00021,60,Standard,2024-03-29,2027-08-29
CT000022,V00022,30,Standard,2024-06-18,2027-07-28
CT000023,V00023,60,Standard,2024-04-20,2027-05-25
CT000024,V00024,30,Standard,2024-03-15,2027-11-22
CT000025,V00025,30,Standard,2024-03-17,2027-06-01
CT000026,V00026,60,Standard,2024-04-20,2027-10-19
CT000027,V00027,90,Strategic,2024-05-22,2027-08-09
CT000028,V00028,60,Standard,2024-02-19,2027-09-08
CT000029,V00029,30,Standard,2024-04-15,2027-10-05
CT000030,V00030,60,Strategic,2024-04-13,2027-09-26
CT000031,V00031,30,Standard,2024-01-02,2027-07-25
CT000032,V00032,30,Standard,2024-06-13,2027-08-13
CT000033,V00033,60,Standard,2024-04-12,2027-07-05
CT000034,V00034,30,Standard,2024-02-13,2027-05-04
CT000035,V00035,30,Standard,2024-04-24,2027-09-23
CT000036,V00036,30,Strategic,2024-05-02,2027-11-17
CT000037,V00037,90,Exception,2024-06-13,2027-09-15
CT000038,V00038,45,Standard,2024-01-07,2027-10-09
CT000039,V00039,60,Standard,2024-03-15,2027-10-31
CT000040,V00040,60,Strategic,2024-02-02,2027-05-15
CT000041,V00041,45,Standard,2024-04-13,2027-01-23
CT000042,V00042,30,Standard,2024-03-31,2027-05-04
CT000043,V00043,60,Standard,2024-03-26,2027-10-03
CT000044,V00044,30,Standard,2024-06-25,2027-10-25
CT000045,V00045,45,Standard,2024-04-05,2027-07-07
CT000046,V00046,90,Standard,2024-03-14,2027-10-12
CT000047,V00047,60,Standard,2024-01-13,2027-01-28
CT000048,V00048,30,Standard,2024-02-22,2027-08-24
CT000049,V00049,30,Strategic,2024-06-10,2027-09-05
CT000050,V00050,45,Standard,2024-03-22,2027-07-05
CT000051,V00051,30,Standard,2024-06-12,2027-09-19
CT000052,V00052,45,Standard,2024-04-05,2027-06-29
CT000053,V00053,30,Standard,2024-04-08,2027-07-11
CT000054,V00054,45,Exception,2024-03-18,2027-08-09
CT000055,V00055,45,Strategic,2024-04-10,2027-10-17
CT000056,V00056,30,Standard,2024-01-13,2027-04-01
CT000057,V00057,45,Standard,2024-01-11,2027-04-20
CT000058,V00058,60,Standard,2024-03-26,2027-06-02
CT000059,V00059,30,Standard,2024-04-17,2027-03-15
CT000060,V00060,30,Standard,2024-04-09,2027-05-02
CT000061,V00061,90,Standard,2024-03-18,2027-05-09
CT000062,V00062,30,Standard,2024-02-22,2027-04-25
CT000063,V00063,45,Standard,2024-05-07,2027-05-30
CT000064,V00064,30,Standard,2024-04-18,2027-07-04
CT000065,V00065,30,Standard,2024-01-09,2027-09-12
CT000066,V00066,30,Standard,2024-03-22,2027-04-21
CT000067,V00067,30,Standard,2024-05-07,2027-11-05
CT000068,V00068,30,Standard,2024-05-21,2027-06-24
CT000069,V00069,45,Standard,2024-02-21,2027-09-21
CT000070,V00070,45,Standard,2024-06-15,2027-02-11
CT000071,V00071,60,Standard,2024-04-27,2027-03-05
CT000072,V00072,60,Strategic,2024-03-19,2027-06-15
CT000073,V00073,45,Strategic,2024-04-22,2027-05-14
CT000074,V00074,30,Standard,2024-06-05,2027-07-01
CT000075,V00075,60,Standard,2024-02-10,2027-02-27
CT000076,V00076,45,Standard,2024-01-28,2027-06-22
CT000077,V00077,45,Standard,2024-03-20,2027-09-08
CT000078,V00078,60,Standard,2024-01-16,2027-09-23
CT000079,V00079,30,Standard,2024-05-30,2027-04-01
CT000080,V00080,45,Standard,2024-06-23,2027-05-06
CT000081,V00081,90,Standard,2024-04-19,2027-07-11
CT000082,V00082,45,Standard,2024-06-25,2027-07-09
CT000083,V00083,90,Standard,2024-01-13,2027-10-17
CT000084,V00084,45,Standard,2024-04-23,2027-05-23
CT000085,V00085,45,Standard,2024-03-20,2027-09-02
CT000086,V00086,60,Standard,2024-02-19,2027-11-19
CT000087,V00087,30,Standard,2024-02-26,2027-04-19
CT000088,V00088,60,Standard,2024-04-08,2027-10-28
CT000089,V00089,45,Standard,2024-04-25,2027-05-02
CT000090,V00090,30,Standard,2024-01-30,2027-05-03
CT000091,V00091,30,Strategic,2024-04-20,2027-08-27
CT000092,V00092,60,Standard,2024-06-15,2027-08-15
CT000093,V00093,60,Standard,2024-01-02,2027-07-20
CT000094,V00094,30,Standard,2024-06-07,2027-03-26
CT000095,V00095,30,Strategic,2024-04-19,2027-02-05
CT000096,V00096,30,Strategic,2024-03-02,2027-11-28
CT000097,V00097,30,Strategic,2024-05-12,2027-11-16
CT000098,V00098,90,Standard,2024-04-21,2027-11-20
CT000099,V00099,30,Standard,2024-05-18,2027-07-07
CT000100,V00100,60,Standard,2024-01-15,2027-11-19
CT000101,V00101,60,Standard,2024-01-11,2027-06-22
CT000102,V00102,30,Standard,2024-04-25,2027-01-28
CT000103,V00103,30,Standard,2024-02-24,2027-03-14
CT000104,V00104,60,Standard,2024-02-12,2027-04-10
CT000105,V00105,30,Strategic,2024-03-16,2027-05-18
CT000106,V00106,30,Standard,2024-05-10,2027-12-09
CT000107,V00107,90,Standard,2024-02-02,2027-05-02
CT000108,V00108,90,Standard,2024-06-24,2027-08-12
CT000109,V00109,60,Strategic,2024-03-16,2027-04-09
CT000110,V00110,30,Strategic,2024-01-28,2027-08-23
CT000111,V00111,60,Standard,2024-01-13,2027-07-27
CT000112,V00112,60,Exception,2024-06-03,2027-02-24
CT000113,V00113,30,Strategic,2024-01-21,2027-06-18
CT000114,V00114,60,Strategic,2024-03-16,2027-02-08
CT000115,V00115,30,Strategic,2024-04-30,2027-11-21
CT000116,V00116,30,Standard,2024-04-02,2027-09-15
CT000117,V00117,90,Strategic,2024-02-17,2027-12-10
CT000118,V00118,60,Standard,2024-01-20,2027-11-16
CT000119,V00119,30,Standard,2024-05-08,2027-03-22
CT000120,V00120,60,Standard,2024-03-29,2027-09-16
CT000121,V00121,90,Strategic,2024-01-09,2027-02-06
CT000122,V00122,90,Exception,2024-02-02,2027-12-17
CT000123,V00123,60,Standard,2024-04-11,2027-10-14
CT000124,V00124,90,Exception,2024-01-31,2027-09-06
CT000125,V00125,30,Standard,2024-03-11,2027-12-30
CT000126,V00126,45,Standard,2024-01-23,2027-11-06
CT000127,V00127,60,Standard,2024-05-23,2027-11-12
CT000128,V00128,30,Strategic,2024-04-23,2027-02-06
CT000129,V00129,60,Standard,2024-05-21,2027-01-09
CT000130,V00130,45,Standard,2024-01-10,2027-12-17
CT000131,V00131,45,Standard,2024-03-08,2027-04-02
CT000132,V00132,30,Standard,2024-02-18,2027-06-05
CT000133,V00133,30,Standard,2024-04-22,2027-01-16
CT000134,V00134,90,Strategic,2024-05-27,2027-08-16
CT000135,V00135,30,Standard,2024-02-10,2027-10-27
CT000136,V00136,30,Strategic,2024-05-18,2027-11-04
CT000137,V00137,30,Standard,2024-04-14,2027-08-01
CT000138,V00138,45,Exception,2024-05-28,2027-08-30
CT000139,V00139,45,Standard,2024-01-15,2027-07-07
CT000140,V00140,45,Standard,2024-06-27,2027-06-12
CT000141,V00141,30,Standard,2024-03-19,2027-07-22
CT000142,V00142,30,Standard,2024-02-20,2027-12-08
CT000143,V00143,60,Standard,2024-02-02,2027-04-03
CT000144,V00144,60,Strategic,2024-06-26,2027-06-21
CT000145,V00145,60,Standard,2024-06-08,2027-08-08
CT000146,V00146,60,Standard,2024-01-24,2027-07-28
CT000147,V00147,60,Standard,2024-03-21,2027-01-12
CT000148,V00148,30,Exception,2024-05-12,2027-04-15
CT000149,V00149,30,Standard,2024-04-16,2027-08-24
CT000150,V00150,45,Standard,2024-02-04,2027-09-11
CT000151,V00151,60,Standard,2024-03-05,2027-09-26
CT000152,V00152,45,Standard,2024-03-07,2027-12-28
CT000153,V00153,45,Standard,2024-02-21,2027-09-03
CT000154,V00154,60,Standard,2024-06-21,2027-07-31
CT000155,V00155,60,Standard,2024-02-06,2027-05-02
CT000156,V00156,90,Standard,2024-05-07,2027-05-16
CT000157,V00157,90,Standard,2024-06-13,2027-10-29
CT000158,V00158,45,Standard,2024-05-23,2027-06-21
CT000159,V00159,60,Strategic,2024-05-23,2027-09-19
CT000160,V00160,60,Standard,2024-01-29,2027-02-15
CT000161,V00161,45,Standard,2024-01-24,2027-02-16
CT000162,V00162,45,Standard,2024-05-20,2027-03-20
CT000163,V00163,30,Standard,2024-05-14,2027-03-13
CT000164,V00164,30,Strategic,2024-05-13,2027-08-10
CT000165,V00165,30,Standard,2024-03-16,2027-08-21
CT000166,V00166,60,Standard,2024-04-04,2027-07-23
CT000167,V00167,30,Standard,2024-01-03,2027-04-16
CT000168,V00168,30,Standard,2024-02-22,2027-07-30
CT000169,V00169,30,Strategic,2024-04-05,2027-02-13
CT000170,V00170,30,Standard,2024-01-23,2027-06-22
CT000171,V00171,90,Standard,2024-01-24,2027-02-26
CT000172,V00172,45,Strategic,2024-01-09,2027-01-29
CT000173,V00173,30,Strategic,2024-02-07,2027-03-02
CT000174,V00174,45,Standard,2024-06-27,2027-02-10
CT000175,V00175,30,Standard,2024-05-05,2027-06-24
CT000176,V00176,30,Standard,2024-06-19,2027-07-19
CT000177,V00177,60,Strategic,2024-02-16,2027-08-10
CT000178,V00178,60,Standard,2024-04-17,2027-06-10
CT000179,V00179,90,Standard,2024-06-09,2027-03-06
CT000180,V00180,60,Strategic,2024-03-04,2027-01-08
CT000181,V00181,45,Standard,2024-04-28,2027-09-18
CT000182,V00182,60,Standard,2024-05-04,2027-12-25
CT000183,V00183,90,Standard,2024-05-29,2027-04-13
CT000184,V00184,60,Strategic,2024-06-23,2027-03-16
CT000185,V00185,30,Standard,2024-04-20,2027-04-24
CT000186,V00186,60,Standard,2024-04-14,2027-03-20
CT000187,V00187,60,Standard,2024-06-05,2027-03-23
CT000188,V00188,30,Strategic,2024-05-03,2027-06-30
CT000189,V00189,60,Strategic,2024-03-06,2027-10-14
CT000190,V00190,45,Standard,2024-04-23,2027-09-17
CT000191,V00191,45,Standard,2024-04-08,2027-12-17
CT000192,V00192,60,Strategic,2024-02-11,2027-05-11
CT000193,V00193,90,Strategic,2024-04-02,2027-06-29
CT000194,V00194,90,Standard,2024-04-22,2027-05-19
CT000195,V00195,30,Standard,2024-06-11,2027-01-16
CT000196,V00196,60,Strategic,2024-04-14,2027-05-22
CT000197,V00197,60,Strategic,2024-01-30,2027-04-06
CT000198,V00198,30,Standard,2024-06-26,2027-06-24
CT000199,V00199,30,Standard,2024-04-14,2027-02-27
CT000200,V00200,30,Standard,2024-02-21,2027-09-28
CT000201,V00201,60,Strategic,2024-05-15,2027-11-04
CT000202,V00202,45,Standard,2024-03-10,2027-12-17
CT000203,V00203,90,Standard,2024-03-07,2027-01-31
CT000204,V00204,45,Standard,2024-05-31,2027-02-12
CT000205,V00205,90,Strategic,2024-06-05,2027-12-19
CT000206,V00206,90,Strategic,2024-04-04,2027-11-06
CT000207,V00207,60,Exception,2024-03-08,2027-08-03
CT000208,V00208,30,Standard,2024-06-04,2027-04-28
CT000209,V00209,45,Strategic,2024-02-01,2027-07-08
CT000210,V00210,60,Strategic,2024-05-14,2027-07-15
CT000211,V00211,90,Standard,2024-04-15,2027-11-06
CT000212,V00212,60,Standard,2024-06-02,2027-07-13
CT000213,V00213,30,Exception,2024-03-16,2027-01-11
CT000214,V00214,30,Standard,2024-05-29,2027-09-13
CT000215,V00215,30,Standard,2024-01-03,2027-10-11
CT000216,V00216,30,Standard,2024-05-16,2027-04-19
CT000217,V00217,60,Standard,2024-01-13,2027-02-12
CT000218,V00218,60,Standard,2024-04-25,2027-02-21
CT000219,V00219,60,Strategic,2024-02-05,2027-11-03
CT000220,V00220,90,Standard,2024-06-22,2027-06-13
CT000221,V00221,60,Strategic,2024-05-18,2027-07-13
CT000222,V00222,60,Standard,2024-01-19,2027-12-17
CT000223,V00223,30,Standard,2024-06-09,2027-01-23
CT000224,V00224,30,Strategic,2024-02-15,2027-03-17
CT000225,V00225,60,Standard,2024-04-08,2027-11-01
CT000226,V00226,60,Standard,2024-01-16,2027-07-17
CT000227,V00227,30,Strategic,2024-01-20,2027-01-10
CT000228,V00228,45,Standard,2024-02-13,2027-09-14
CT000229,V00229,45,Standard,2024-04-06,2027-02-20
CT000230,V00230,30,Standard,2024-04-07,2027-10-13
CT000231,V00231,30,Strategic,2024-06-03,2027-10-19
CT000232,V00232,60,Standard,2024-01-30,2027-10-28
CT000233,V00233,60,Standard,2024-05-14,2027-06-19
CT000234,V00234,45,Exception,2024-01-02,2027-04-08
CT000235,V00235,60,Standard,2024-02-22,2027-11-18
CT000236,V00236,30,Standard,2024-02-01,2027-07-23
CT000237,V00237,60,Standard,2024-01-23,2027-08-20
CT000238,V00238,30,Standard,2024-04-15,2027-02-19
CT000239,V00239,45,Standard,2024-06-11,2027-08-16
CT000240,V00240,30,Standard,2024-04-30,2027-07-31
CT000241,V00241,30,Standard,2024-06-02,2027-04-17
CT000242,V00242,60,Standard,2024-04-16,2027-10-07
CT000243,V00243,30,Standard,2024-01-10,2027-02-18
CT000244,V00244,30,Standard,2024-03-03,2027-09-20
CT000245,V00245,30,Standard,2024-05-28,2027-12-17
CT000246,V00246,60,Standard,2024-01-08,2027-07-27
CT000247,V00247,60,Strategic,2024-01-18,2027-02-08
CT000248,V00248,90,Standard,2024-05-30,2027-07-21
CT000249,V00249,30,Standard,2024-01-12,2027-07-13
CT000250,V00250,30,Standard,2024-06-21,2027-07-21
CT000251,V00251,30,Strategic,2024-05-16,2027-04-10
CT000252,V00252,45,Standard,2024-04-29,2027-08-17
CT000253,V00253,90,Strategic,2024-04-06,2027-04-07
CT000254,V00254,60,Standard,2024-01-17,2027-07-23
CT000255,V00255,45,Standard,2024-03-15,2027-08-06
CT000256,V00256,45,Strategic,2024-05-25,2027-08-24
CT000257,V00257,45,Standard,2024-06-11,2027-10-19
CT000258,V00258,45,Standard,2024-03-21,2027-11-19
CT000259,V00259,30,Exception,2024-05-31,2027-10-11
CT000260,V00260,30,Standard,2024-05-19,2027-10-18
CT000261,V00261,30,Standard,2024-01-11,2027-11-14
CT000262,V00262,30,Standard,2024-04-21,2027-03-30
CT000263,V00263,30,Standard,2024-04-20,2027-04-17
CT000264,V00264,45,Strategic,2024-04-07,2027-07-14
CT000265,V00265,30,Standard,2024-05-19,2027-06-19
CT000266,V00266,30,Strategic,2024-06-09,2027-09-14
CT000267,V00267,45,Standard,2024-04-09,2027-01-04
CT000268,V00268,90,Exception,2024-02-27,2027-02-20
CT000269,V00269,60,Strategic,2024-06-25,2027-09-30
CT000270,V00270,45,Strategic,2024-06-22,2027-10-28
CT000271,V00271,30,Standard,2024-05-03,2027-04-21
CT000272,V00272,60,Standard,2024-04-25,2027-04-24
CT000273,V00273,30,Standard,2024-01-19,2027-07-24
CT000274,V00274,30,Standard,2024-03-13,2027-06-24
CT000275,V00275,90,Standard,2024-02-05,2027-03-03
CT000276,V00276,45,Strategic,2024-04-02,2027-07-02
CT000277,V00277,60,Standard,2024-05-28,2027-10-27
CT000278,V00278,45,Strategic,2024-02-10,2027-09-24
CT000279,V00279,60,Standard,2024-06-28,2027-10-26
CT000280,V00280,30,Exception,2024-01-24,2027-08-23
CT000281,V00281,30,Standard,2024-01-18,2027-11-17
CT000282,V00282,30,Standard,2024-06-24,2027-04-02
CT000283,V00283,30,Strategic,2024-01-19,2027-01-17
CT000284,V00284,60,Strategic,2024-05-12,2027-02-11
CT000285,V00285,45,Strategic,2024-05-17,2027-12-29
CT000286,V00286,45,Exception,2024-02-29,2027-08-22
CT000287,V00287,60,Standard,2024-01-12,2027-04-01
CT000288,V00288,60,Strategic,2024-02-25,2027-11-08
CT000289,V00289,45,Standard,2024-01-13,2027-04-23
CT000290,V00290,45,Standard,2024-05-01,2027-08-07
CT000291,V00291,90,Standard,2024-06-08,2027-04-02
CT000292,V00292,60,Standard,2024-06-28,2027-02-04
CT000293,V00293,60,Standard,2024-05-24,2027-04-08
CT000294,V00294,90,Strategic,2024-05-19,2027-03-25
CT000295,V00295,60,Standard,2024-06-07,2027-07-21
CT000296,V00296,30,Strategic,2024-05-18,2027-01-08
CT000297,V00297,45,Standard,2024-04-27,2027-03-29
CT000298,V00298,30,Standard,2024-06-28,2027-07-27
CT000299,V00299,60,Standard,2024-02-28,2027-05-24
CT000300,V00300,90,Standard,2024-03-15,2027-08-21
CT000301,V00301,90,Standard,2024-06-12,2027-08-28
CT000302,V00302,45,Standard,2024-02-25,2027-12-19
CT000303,V00303,30,Standard,2024-02-23,2027-11-02
CT000304,V00304,90,Standard,2024-01-28,2027-03-25
CT000305,V00305,30,Strategic,2024-02-19,2027-09-10
CT000306,V00306,30,Standard,2024-04-16,2027-08-17
CT000307,V00307,45,Strategic,2024-06-08,2027-08-05
CT000308,V00308,30,Strategic,2024-01-25,2027-10-19
CT000309,V00309,45,Standard,2024-05-02,2027-02-23
CT000310,V00310,45,Standard,2024-05-17,2027-05-17
CT000311,V00311,30,Standard,2024-06-10,2027-10-25
CT000312,V00312,60,Standard,2024-05-15,2027-11-22
CT000313,V00313,30,Standard,2024-01-29,2027-01-14
CT000314,V00314,30,Exception,2024-03-29,2027-06-22
CT000315,V00315,30,Standard,2024-06-20,2027-04-07
CT000316,V00316,60,Standard,2024-06-12,2027-03-03
CT000317,V00317,30,Standard,2024-04-20,2027-01-21
CT000318,V00318,30,Standard,2024-06-22,2027-07-16
CT000319,V00319,30,Standard,2024-04-30,2027-09-01
CT000320,V00320,30,Standard,2024-01-12,2027-07-13
CT000321,V00321,30,Exception,2024-06-13,2027-05-15
CT000322,V00322,30,Standard,2024-01-31,2027-10-09
CT000323,V00323,60,Standard,2024-03-09,2027-08-26
CT000324,V00324,30,Standard,2024-02-12,2027-11-28
