invoice_id,vendor_id,po_id,contract_id,processor_id,market,currency,invoice_date,invoice_receipt_date,invoice_amount,invoice_payment_term,invoice_priority,approval_status,scenario_label
INV00000001,V00369,PO0000841,CT000369,P0041,USA,ZAR,2025-05-22,2025-05-29,27783.57,60,Low,Approved,LOW_RISK_STANDARD_PROCESS
INV00000002,V00250,PO0000870,CT000250,P0065,UK,ZAR,2025-12-18,2025-12-25,127965.18,30,Medium,Approved,NORMAL_ON_TIME
INV00000003,V00129,PO0001068,CT000129,P0057,India,MXN,2026-01-20,2026-01-26,83082.22,60,Medium,Approved,NORMAL_ON_TIME
INV00000004,V00402,PO0000134,CT000402,P0054,Mexico,USD,2025-07-17,2025-07-18,37370.46,45,High,Approved,CORA_SAP_SYSTEM_ERROR
INV00000005,V00201,PO0001060,CT000201,P0064,Indonesia,INR,2026-03-21,2026-03-23,1303.14,60,Medium,Pending,BEHAVIOURAL_QUEUE_CLEARANCE
INV00000006,V00175,PO0000395,CT000175,P0036,India,USD,2025-07-24,2025-07-29,2303.59,30,High,Approved,BEHAVIOURAL_QUEUE_CLEARANCE
INV00000007,V00009,PO0000071,CT000009,P0090,India,BRL,2025-02-23,2025-02-23,49879.8,30,Medium,Rejected,CORA_SAP_SYSTEM_ERROR
INV00000008,V00419,PO0000686,CT000419,P0022,USA,MXN,2026-02-18,2026-02-24,89352.29,30,Medium,Pending,NORMAL_ON_TIME
INV00000009,V00356,PO0000627,CT000356,P0059,Brazil,BRL,2025-06-29,2025-07-02,29185.33,60,Medium,Pending,NORMAL_ON_TIME
INV00000010,V00075,PO0001171,CT000075,P0083,India,USD,2026-02-07,2026-02-07,11838.84,45,Critical,Approved,PAYMENT_TERM_MISMATCH
INV00000011,V00399,PO0000520,CT000399,P0055,UK,GBP,2025-12-01,2025-12-03,67502.24,60,High,Approved,LEGITIMATE_UPR_EARLY_PAYMENT
INV00000012,V00335,PO0000595,CT000335,P0020,India,EUR,2026-03-04,2026-03-07,35999.97,45,High,Approved,PAYMENT_TERM_MISMATCH
INV00000013,V00177,PO0000477,CT000177,P0078,UK,INR,2025-10-21,2025-10-26,53869.38,60,High,Approved,NORMAL_ON_TIME
INV00000014,V00390,PO0001082,CT000390,P0003,South Africa,GBP,2025-09-27,2025-10-01,2322.97,90,High,Pending,LOW_RISK_STANDARD_PROCESS
INV00000015,V00195,PO0000044,CT000195,P0066,India,MXN,2025-04-17,2025-04-19,23400.37,30,Medium,Approved,REPEAT_VENDOR_PATTERN
INV00000016,V00289,PO0000249,CT000289,P0024,Brazil,EUR,2025-05-08,2025-05-12,105166.46,45,Medium,Pending,NORMAL_ON_TIME
INV00000017,V00077,PO0000281,CT000077,P0058,USA,GBP,2025-05-30,2025-06-06,28390.81,45,Medium,Approved,NORMAL_ON_TIME
INV00000018,V00046,PO0000122,CT000046,P0044,South Africa,EUR,2025-05-21,2025-05-23,44163.63,45,High,Approved,CORA_SAP_SYSTEM_ERROR
INV00000019,V00222,PO0000684,CT000222,P0052,Brazil,ZAR,2025-09-28,2025-09-30,16952.86,60,Critical,Approved,CORA_SAP_SYSTEM_ERROR
INV00000020,V00138,PO0000717,CT000138,P0040,Brazil,GBP,2026-01-31,2026-01-31,110394.42,45,Critical,Approved,HIGH_VALUE_MANUAL_OVERRIDE
INV00000021,V00040,PO0000688,CT000040,P0048,Germany,ZAR,2025-01-17,2025-01-20,71157.71,60,Medium,Approved,REPEAT_VENDOR_PATTERN
INV00000022,V00036,PO0001063,CT000036,P0064,USA,IDR,2025-10-09,2025-10-11,8076.57,30,High,Approved,BEHAVIOURAL_QUEUE_CLEARANCE
INV00000023,V00321,PO0000235,CT000321,P0075,Mexico,GBP,2025-12-11,2025-12-17,7287.96,90,Medium,Approved,NORMAL_ON_TIME
INV00000024,V00253,PO0000793,CT000253,P0038,UK,BRL,2025-07-21,2025-07-21,9876.12,90,High,Approved,LEGITIMATE_UPR_EARLY_PAYMENT
INV00000025,V00141,PO0000144,CT000141,P0085,Brazil,USD,2025-05-06,2025-05-10,16724.31,30,Medium,Pending,REPEAT_VENDOR_PATTERN
INV00000026,V00420,PO0001208,CT000420,P0081,Mexico,ZAR,2025-07-16,2025-07-22,3009.13,60,Medium,Approved,LOW_RISK_STANDARD_PROCESS
INV00000027,V00366,PO0000733,CT000366,P0072,UK,ZAR,2026-01-12,2026-01-14,237456.95,30,High,Approved,HIGH_VALUE_MANUAL_OVERRIDE
INV00000028,V00158,PO0001001,CT000158,P0054,Germany,GBP,2026-02-21,2026-02-21,13732.78,45,Medium,Approved,CORA_SAP_SYSTEM_ERROR
INV00000029,V00293,PO0000566,CT000293,P0004,Mexico,EUR,2025-11-08,2025-11-13,39989.56,45,Medium,Pending,NORMAL_ON_TIME
INV00000030,V00069,PO0000282,CT000069,P0048,India,INR,2025-08-09,2025-08-13,1763.36,45,Critical,Approved,LEGITIMATE_UPR_EARLY_PAYMENT
INV00000031,V00205,PO0000137,CT000205,P0040,India,MXN,2025-10-21,2025-10-25,40150.86,90,Medium,Pending,BEHAVIOURAL_QUEUE_CLEARANCE
INV00000032,V00113,PO0000668,CT000113,P0015,USA,IDR,2025-11-05,2025-11-12,66419.08,30,Medium,Approved,NORMAL_ON_TIME
INV00000033,V00106,PO0001018,CT000106,P0078,Indonesia,USD,2025-12-16,2025-12-16,25860.58,45,Low,Approved,LOW_RISK_STANDARD_PROCESS
INV00000034,V00240,PO0000009,CT000240,P0001,India,USD,2025-03-07,2025-03-08,16840.13,45,Low,Pending,BEHAVIOURAL_QUEUE_CLEARANCE
