po_id,vendor_id,po_payment_term,po_amount,po_date,buying_team
PO0000001,V00362,45,66662.07,2025-04-07,Home Care
PO0000002,V00151,30,30198.43,2025-04-12,Home Care
PO0000003,V00344,30,29686.6,2025-01-05,Foods
PO0000004,V00214,30,27251.75,2025-05-25,Nutrition
PO0000005,V00192,60,10749.68,2025-09-02,Nutrition
PO0000006,V00031,30,35012.91,2025-10-24,Corporate
PO0000007,V00050,45,28397.13,2026-01-13,Ice Cream
PO0000008,V00251,60,108640.1,2025-11-23,Beauty
PO0000009,V00240,30,14513.07,2025-05-15,Beauty
PO0000010,V00234,30,24573.52,2025-12-13,Home Care
PO0000011,V00066,30,18700.88,2025-03-23,Corporate
PO0000012,V00215,30,136782.98,2025-03-29,Beauty
PO0000013,V00026,45,19168.1,2025-05-31,Nutrition
PO0000014,V00061,30,64728.37,2025-08-15,Foods
PO0000015,V00210,60,91549.7,2025-03-27,Corporate
PO0000016,V00260,30,35447.06,2026-01-14,Ice Cream
PO0000017,V00276,90,12452.92,2025-04-24,Home Care
PO0000018,V00413,30,12587.62,2025-06-14,Home Care
PO0000019,V00359,60,83349.63,2025-09-12,Home Care
PO0000020,V00160,30,13745.89,2025-06-30,Beauty
PO0000021,V00329,60,56006.48,2025-06-19,Ice Cream
PO0000022,V00041,30,44231.69,2026-02-18,Corporate
PO0000023,V00361,45,55301.9,2025-07-03,Beauty
PO0000024,V00163,60,59924.88,2025-02-17,Nutrition
PO0000025,V00320,30,18149.17,2025-11-03,Ice Cream
PO0000026,V00408,30,17514.79,2025-10-24,Nutrition
PO0000027,V00296,30,73694.84,2025-04-02,Nutrition
PO0000028,V00387,60,23507.08,2025-12-24,Foods
PO0000029,V00005,60,3875.28,2025-06-14,Foods
PO0000030,V00072,60,69664.21,2025-03-05,Corporate
PO0000031,V00263,30,16633.56,2025-03-14,Foods
PO0000032,V00228,45,59698.7,2025-10-28,Ice Cream
PO0000033,V00051,30,131123.98,2025-04-01,Nutrition
PO0000034,V00302,45,40710.78,2025-07-17,Ice Cream
PO0000035,V00025,30,93564.0,2025-11-05,Foods
PO0000036,V00417,60,45739.98,2025-12-25,Foods
PO0000037,V00066,30,154711.12,2025-07-25,Nutrition
PO0000038,V00188,30,16272.13,2026-01-17,Corporate
PO0000039,V00346,45,39855.56,2025-05-08,Home Care
PO0000040,V00216,30,71124.52,2026-01-02,Ice Cream
PO0000041,V00313,30,34137.44,2025-04-16,Corporate
PO0000042,V00296,30,106871.89,2025-01-28,Nutrition
PO0000043,V00399,60,27799.31,2025-11-01,Ice Cream
PO0000044,V00195,30,233040.02,2025-11-14,Ice Cream
PO0000045,V00412,45,243742.56,2026-01-25,Corporate
PO0000046,V00218,60,51009.2,2026-01-23,Nutrition
PO0000047,V00376,30,64196.95,2025-02-12,Home Care
PO0000048,V00308,30,110516.57,2025-09-18,Nutrition
PO0000049,V00056,30,14630.77,2025-10-23,Beauty
PO0000050,V00271,30,13158.19,2025-09-10,Corporate
PO0000051,V00369,60,116769.37,2025-01-08,Foods
PO0000052,V00054,90,50659.91,2025-01-19,Beauty
PO0000053,V00353,45,33106.02,2025-10-09,Home Care
PO0000054,V00045,45,40516.1,2025-12-26,Beauty
PO0000055,V00366,45,5280.97,2025-03-17,Ice Cream
PO0000056,V00332,30,34133.07,2025-01-20,Nutrition
PO0000057,V00064,30,21160.9,2025-06-19,Corporate
PO0000058,V00306,30,87584.64,2025-05-12,Ice Cream
PO0000059,V00050,45,93505.56,2026-02-17,Ice Cream
PO0000060,V00239,45,65524.42,2026-01-24,Ice Cream
PO0000061,V00388,30,56170.1,2025-08-23,Foods
PO0000062,V00087,30,11240.24,2026-02-03,Nutrition
PO0000063,V00074,30,66306.73,2025-04-07,Foods
PO0000064,V00178,60,68527.35,2026-02-21,Ice Cream
PO0000065,V00155,60,115660.42,2025-07-07,Corporate
PO0000066,V00021,60,242917.79,2025-07-20,Nutrition
PO0000067,V00192,60,9521.65,2025-01-22,Ice Cream
PO0000068,V00110,90,28847.96,2025-03-16,Beauty
PO0000069,V00053,30,21355.69,2025-03-23,Corporate
PO0000070,V00116,30,46473.2,2025-07-24,Corporate
PO0000071,V00009,30,40594.65,2025-03-21,Home Care
PO0000072,V00385,30,32893.5,2025-02-12,Foods
PO0000073,V00418,90,96130.67,2025-09-12,Ice Cream
PO0000074,V00155,45,15737.44,2026-01-02,Ice Cream
PO0000075,V00369,60,16564.99,2025-01-30,Corporate
PO0000076,V00194,90,16804.61,2025-08-24,Corporate
PO0000077,V00384,45,29546.53,2026-02-08,Beauty
PO0000078,V00073,60,14124.95,2025-06-19,Beauty
PO0000079,V00120,60,38511.58,2025-03-18,Corporate
PO0000080,V00311,90,34868.3,2025-02-03,Beauty
PO0000081,V00093,30,20567.39,2026-01-29,Home Care
PO0000082,V00346,30,84347.57,2025-06-20,Beauty
PO0000083,V00179,30,38155.48,2025-02-14,Home Care
PO0000084,V00170,30,99037.14,2025-12-30,Ice Cream
PO0000085,V00191,45,34003.12,2025-12-03,Beauty
PO0000086,V00336,45,39317.87,2025-10-23,Home Care
PO0000087,V00003,60,24875.41,2025-02-05,Home Care
PO0000088,V00316,60,39895.17,2025-02-04,Foods
PO0000089,V00328,45,73526.17,2025-04-02,Nutrition
PO0000090,V00345,90,28292.89,2025-03-09,Corporate
PO0000091,V00419,30,62358.18,2025-08-12,Home Care
PO0000092,V00329,60,20113.87,2025-06-14,Beauty
PO0000093,V00223,30,76511.24,2025-11-18,Ice Cream
PO0000094,V00196,60,24515.97,2025-02-12,Ice Cream
PO0000095,V00164,30,82778.85,2025-11-02,Ice Cream
PO0000096,V00348,30,42269.88,2026-01-28,Ice Cream
PO0000097,V00165,90,146211.67,2025-02-24,Nutrition
PO0000098,V00241,30,15048.63,2025-10-01,Foods
PO0000099,V00041,45,11444.33,2025-08-02,Foods
PO0000100,V00134,30,23770.85,2025-02-09,Foods
PO0000101,V00112,60,12370.63,2025-05-03,Foods
PO0000102,V00183,90,12390.38,2025-11-27,Corporate
PO0000103,V00211,30,68071.79,2025-12-31,Nutrition
PO0000104,V00301,45,39992.53,2025-06-04,Ice Cream
PO0000105,V00182,60,26696.06,2025-02-14,Nutrition
PO0000106,V00064,30,28885.12,2025-04-13,Foods
PO0000107,V00229,60,24157.45,2025-12-21,Beauty
PO0000108,V00023,60,163213.39,2025-08-28,Nutrition
PO0000109,V00357,60,21478.77,2025-06-30,Home Care
PO0000110,V00324,30,13045.34,2025-01-06,Ice Cream
PO0000111,V00095,45,78955.76,2025-11-25,Nutrition
PO0000112,V00111,60,33409.91,2025-07-15,Foods
PO0000113,V00012,90,227057.29,2025-08-18,Nutrition
PO0000114,V00154,60,25660.94,2025-12-21,Nutrition
PO0000115,V00017,30,82379.06,2025-08-25,Home Care
PO0000116,V00394,45,100696.64,2026-01-25,Home Care
PO0000117,V00057,45,25767.38,2025-08-24,Foods
PO0000118,V00277,60,21343.82,2025-05-24,Beauty
PO0000119,V00240,90,75369.77,2026-01-23,Beauty
PO0000120,V00100,30,65424.9,2025-09-27,Corporate
PO0000121,V00340,30,12100.25,2025-11-16,Foods
PO0000122,V00046,45,15380.1,2025-04-06,Beauty
PO0000123,V00373,30,4647.27,2025-10-09,Foods
PO0000124,V00311,30,66574.63,2025-08-24,Beauty
PO0000125,V00267,45,32126.83,2025-02-14,Foods
PO0000126,V00370,60,34967.42,2025-04-17,Beauty
PO0000127,V00170,60,9530.69,2026-01-18,Nutrition
PO0000128,V00119,30,15781.81,2025-08-28,Nutrition
PO0000129,V00065,30,26735.16,2025-11-22,Home Care
PO0000130,V00389,45,22663.78,2025-03-14,Nutrition
PO0000131,V00169,30,44362.98,2025-04-02,Ice Cream
PO0000132,V00349,90,65903.57,2026-01-31,Corporate
