processor_id,processor_name,team,avg_daily_volume,historical_manual_override_rate,historical_early_release_rate
P0001,Processor 001,AP India,155,0.4192,0.2754
P0002,Processor 002,AP Africa,158,0.1466,0.1691
P0003,Processor 003,AP India,167,0.2263,0.2599
P0004,Processor 004,AP Americas,184,0.0931,0.1962
P0005,Processor 005,AP SEA,129,0.0778,0.2335
P0006,Processor 006,AP Europe,73,0.0958,0.1049
P0007,Processor 007,AP Africa,122,0.2455,0.0989
P0008,Processor 008,AP Europe,144,0.2318,0.1621
P0009,Processor 009,AP India,50,0.0724,0.1789
P0010,Processor 010,AP Americas,152,0.1589,0.0975
P0011,Processor 011,AP Africa,119,0.1896,0.1399
P0012,Processor 012,AP India,180,0.5169,0.3741
P0013,Processor 013,AP LATAM,67,0.2652,0.5377
P0014,Processor 014,AP Europe,175,0.0759,0.211
P0015,Processor 015,AP Europe,104,0.1454,0.1973
P0016,Processor 016,AP SEA,123,0.2558,0.1121
P0017,Processor 017,AP LATAM,137,0.1925,0.01
P0018,Processor 018,AP LATAM,124,0.0809,0.2932
P0019,Processor 019,AP Europe,175,0.1181,0.0685
P0020,Processor 020,AP Europe,60,0.2313,0.1315
P0021,Processor 021,AP Africa,148,0.1977,0.0641
P0022,Processor 022,AP India,186,0.2132,0.3203
P0023,Processor 023,AP Americas,69,0.1044,0.2788
P0024,Processor 024,AP LATAM,74,0.359,0.0502
P0025,Processor 025,AP LATAM,108,0.1383,0.0848
P0026,Processor 026,AP India,147,0.0852,0.1746
P0027,Processor 027,AP Africa,183,0.4141,0.0162
P0028,Processor 028,AP LATAM,158,0.197,0.0221
P0029,Processor 029,AP Americas,158,0.3055,0.1141
P0030,Processor 030,AP Africa,103,0.1944,0.3109
P0031,Processor 031,AP SEA,135,0.4096,0.0949
P0032,Processor 032,AP Europe,67,0.1595,0.2881
P0033,Processor 033,AP Americas,106,0.1406,0.2025
P0034,Processor 034,AP Americas,64,0.1219,0.1216
P0035,Processor 035,AP LATAM,39,0.2804,0.2733
P0036,Processor 036,AP India,167,0.3129,0.482
P0037,Processor 037,AP Europe,159,0.2442,0.2485
P0038,Processor 038,AP India,114,0.0794,0.3779
P0039,Processor 039,AP India,37,0.29,0.1087
P0040,Processor 040,AP Europe,48,0.3109,0.5052
P0041,Processor 041,AP Africa,52,0.3611,0.47
P0042,Processor 042,AP SEA,146,0.1189,0.1154
P0043,Processor 043,AP India,66,0.3267,0.1288
P0044,Processor 044,AP Americas,73,0.2386,0.1612
P0045,Processor 045,AP Europe,168,0.1767,0.2184
P0046,Processor 046,AP LATAM,170,0.1096,0.1866
P0047,Processor 047,AP SEA,153,0.1905,0.095
P0048,Processor 048,AP Africa,82,0.1879,0.0768
P0049,Processor 049,AP LATAM,124,0.0624,0.0576
P0050,Processor 050,AP India,66,0.181,0.207
P0051,Processor 051,AP India,167,0.2475,0.256
P0052,Processor 052,AP India,48,0.3964,0.4174
P0053,Processor 053,AP LATAM,150,0.1483,0.2445
P0054,Processor 054,AP Americas,114,0.1187,0.1289
P0055,Processor 055,AP Americas,152,0.1643,0.1814
P0056,Processor 056,AP Africa,104,0.0713,0.3449
P0057,Processor 057,AP Africa,59,0.1153,0.1599
P0058,Processor 058,AP Europe,151,0.5731,0.0684
P0059,Processor 059,AP SEA,132,0.166,0.0542
P0060,Processor 060,AP Africa,107,0.2231,0.1824
P0061,Processor 061,AP Africa,92,0.1884,0.0908
P0062,Processor 062,AP SEA,88,0.0599,0.3074
P0063,Processor 063,AP Americas,109,0.1875,0.1101
P0064,Processor 064,AP Africa,75,0.3606,0.4673
P0065,Processor 065,AP SEA,78,0.3607,0.2022
P0066,Processor 066,AP SEA,78,0.131,0.43
P0067,Processor 067,AP LATAM,36,0.4861,0.4544
P0068,Processor 068,AP Africa,178,0.0954,0.1899
P0069,Processor 069,AP SEA,71,0.2044,0.2143
P0070,Processor 070,AP SEA,60,0.0695,0.1465
P0071,Processor 071,AP SEA,58,0.2332,0.1093
P0072,Processor 072,AP Africa,188,0.3462,0.3203
P0073,Processor 073,AP Europe,108,0.0363,0.2674
P0074,Processor 074,AP Africa,85,0.0894,0.2956
P0075,Processor 075,AP Europe,97,0.2261,0.238
P0076,Processor 076,AP Africa,48,0.1608,0.341
P0077,Processor 077,AP Africa,83,0.0449,0.201
P0078,Processor 078,AP SEA,73,0.2089,0.079
P0079,Processor 079,AP LATAM,159,0.1764,0.1523
P0080,Processor 080,AP Europe,44,0.0924,0.0606
P0081,Processor 081,AP India,100,0.1308,0.1172
P0082,Processor 082,AP LATAM,157,0.1671,0.2869
P0083,Processor 083,AP LATAM,164,0.1672,0.2409
P0084,Processor 084,AP LATAM,114,0.12,0.0676
P0085,Processor 085,AP Africa,69,0.122,0.4229
P0086,Processor 086,AP SEA,87,0.0676,0.0726
P0087,Processor 087,AP India,69,0.1056,0.1932
P0088,Processor 088,AP Europe,137,0.0483,0.2499
P0089,Processor 089,AP Africa,80,0.0504,0.2745
P0090,Processor 090,AP Africa,132,0.0935,0.0679
