invoice_id,upr_flag,upr_reason,upr_approval_status,upr_requested_by,upr_documented_flag
INV00000001,0,None,Not Applicable,None,0
INV00000002,0,None,Not Applicable,None,0
INV00000003,0,None,Not Applicable,None,0
INV00000004,0,None,Not Applicable,None,0
INV00000005,0,None,Not Applicable,None,0
INV00000006,0,None,Not Applicable,None,0
INV00000007,0,None,Not Applicable,None,0
INV00000008,0,None,Not Applicable,None,0
INV00000009,0,None,Not Applicable,None,0
INV00000010,0,None,Not Applicable,None,0
INV00000011,1,Executive exception,Approved,Business Unit,1
INV00000012,0,None,Not Applicable,None,0
INV00000013,0,None,Not Applicable,None,0
INV00000014,0,None,Not Applicable,None,0
INV00000015,0,None,Not Applicable,None,0
INV00000016,0,None,Not Applicable,None,0
INV00000017,0,None,Not Applicable,None,0
INV00000018,0,None,Not Applicable,None,0
INV00000019,0,None,Not Applicable,None,0
INV00000020,0,None,Not Applicable,None,0
INV00000021,0,None,Not Applicable,None,0
INV00000022,0,None,Not Applicable,None,0
INV00000023,0,None,Not Applicable,None,0
INV00000024,1,Port clearance,Rejected,Finance Lead,1
INV00000025,0,None,Not Applicable,None,0
INV00000026,0,None,Not Applicable,None,0
INV00000027,0,None,Not Applicable,None,0
INV00000028,0,None,Not Applicable,None,0
INV00000029,0,None,Not Applicable,None,0
INV00000030,1,Executive exception,Pending,Plant Manager,0
INV00000031,0,None,Not Applicable,None,0
INV00000032,0,None,Not Applicable,None,0
INV00000033,0,None,Not Applicable,None,0
INV00000034,0,None,Not Applicable,None,0
INV00000035,0,None,Not Applicable,None,0
INV00000036,0,None,Not Applicable,None,0
INV00000037,0,None,Not Applicable,None,0
INV00000038,0,None,Not Applicable,None,0
INV00000039,0,None,Not Applicable,None,0
INV00000040,0,None,Not Applicable,None,0
INV00000041,0,None,Not Applicable,None,0
INV00000042,1,Urgent production need,Approved,Business Unit,1
INV00000043,0,None,Not Applicable,None,0
INV00000044,0,None,Not Applicable,None,0
INV00000045,0,None,Not Applicable,None,0
INV00000046,0,None,Not Applicable,None,0
INV00000047,1,Legal settlement,Approved,Finance Lead,1
INV00000048,0,None,Not Applicable,None,0
INV00000049,0,None,Not Applicable,None,0
INV00000050,1,Port clearance,Pending,Procurement,1
INV00000051,0,None,Not Applicable,None,0
