vendor_id,vendor_name,vendor_category,vendor_country,vendor_payment_term,vendor_risk_rating,historical_early_payment_rate
V00001,"Cooper, Foster and Brown",Facilities,Indonesia,60,Low,0.2815
V00002,Phillips Group,Marketing,UK,30,Medium,0.2867
V00003,"Tran, Pollard and King",Marketing,South Africa,30,Low,0.3319
V00004,Benson Group,Marketing,Indonesia,30,Low,0.179
V00005,Jones-Fischer,Facilities,India,60,Low,0.1547
V00006,Hodge and Sons,Marketing,Mexico,60,High,0.4102
V00007,"Atkinson, Byrd and Lynn",Marketing,Indonesia,30,Low,0.1151
V00008,Merritt and Sons,Logistics,Indonesia,60,Medium,0.3555
V00009,"Bernard, Hernandez and Carrillo",Logistics,India,30,Low,0.0679
V00010,Henderson PLC,Marketing,UK,60,High,0.4188
V00011,Weiss-Guerra,IT Services,UK,90,Low,0.2348
V00012,Sullivan-Grant,Marketing,Mexico,60,Low,0.0636
V00013,Fisher-Brock,Facilities,Germany,60,Medium,0.397
V00014,"Jones, Soto and Wong",Facilities,South Africa,60,High,0.2505
V00015,Thomas-Nguyen,Marketing,UK,30,Low,0.1359
V00016,Garza-Carter,Professional Services,USA,30,Low,0.1906
V00017,Greene-Mckenzie,Packaging,Brazil,30,Medium,0.0766
V00018,Miller LLC,Professional Services,India,45,High,0.3225
V00019,Green-Caldwell,Logistics,South Africa,60,Low,0.2671
V00020,Anderson Group,Marketing,Germany,60,Low,0.0552
V00021,Perez-Oneill,Packaging,Indonesia,60,Medium,0.6116
V00022,Lee-Wright,Marketing,UK,30,Medium,0.3569
V00023,"Love, Padilla and Elliott",Logistics,Mexico,60,Medium,0.261
V00024,Davenport-Brewer,IT Services,Mexico,30,Medium,0.5499
V00025,Miller Ltd,Raw Materials,Indonesia,30,Low,0.4311
V00026,Donovan-Salinas,Facilities,USA,60,High,0.1665
V00027,"Smith, Skinner and Carson",Professional Services,UK,90,Medium,0.0773
V00028,"Miller, Gallagher and Reynolds",Marketing,India,60,Medium,0.1063
V00029,Davidson LLC,Marketing,India,30,Low,0.313
V00030,"Garza, Williams and Hamilton",IT Services,Germany,60,Low,0.1128
V00031,Berger-Strong,Packaging,Indonesia,30,Medium,0.1042
V00032,Rodriguez Group,Facilities,Mexico,60,Low,0.087
V00033,"Barnes, Simmons and Foley",Packaging,USA,60,High,0.3281
V00034,Watson LLC,IT Services,UK,30,Low,0.4151
V00035,"Brown, Bradley and Adkins",Logistics,UK,30,Medium,0.146
V00036,Carey and Sons,Facilities,USA,30,High,0.3586
V00037,"Perry, Duke and Olson",Facilities,India,90,Low,0.2374
V00038,Harmon Inc,Packaging,Brazil,45,Low,0.3522
V00039,Matthews Ltd,IT Services,USA,60,Medium,0.2259
V00040,"Bishop, Villarreal and Reyes",Marketing,Germany,60,Medium,0.6272
V00041,Hill Inc,Logistics,UK,45,Low,0.128
V00042,Patterson-Moore,IT Services,South Africa,30,Medium,0.1305
V00043,"Smith, Allison and Christian",Professional Services,Indonesia,90,High,0.4222
V00044,Ponce Ltd,Raw Materials,USA,30,Low,0.3727
V00045,"Torres, Tanner and Larsen",Professional Services,South Africa,45,Low,0.047
V00046,"Howard, Knight and Hines",Facilities,South Africa,60,Low,0.0847
V00047,"Walker, Moyer and Owens",Marketing,UK,60,Low,0.1897
V00048,Morales and Sons,IT Services,USA,90,Low,0.4343
V00049,Morris-Mendoza,Logistics,Germany,30,Low,0.0569
V00050,Kim LLC,Raw Materials,India,45,Medium,0.2087
V00051,Galvan LLC,IT Services,USA,30,Low,0.3722
V00052,Thompson-Bush,Facilities,India,45,High,0.3461
V00053,Quinn-Schroeder,Packaging,Indonesia,30,Low,0.119
V00054,"Ball, Zamora and Mcpherson",Facilities,Germany,30,Low,0.5078
V00055,"Delgado, Rivera and Smith",Facilities,Indonesia,30,Medium,0.298
V00056,Silva-Weber,Facilities,Indonesia,30,High,0.4286
V00057,"Carr, Smith and Benton",Logistics,UK,45,Low,0.3614
V00058,"Jones, Walton and Baker",Logistics,Brazil,60,Low,0.2215
V00059,"Hess, Rose and Bell",Logistics,India,60,Low,0.1328
V00060,Harris-Anderson,Facilities,India,30,Low,0.2226
V00061,Petersen Inc,Professional Services,Germany,30,Low,0.1924
V00062,"Jimenez, Long and Washington",Logistics,Brazil,30,Low,0.0812
V00063,"Mccarthy, Sanchez and Perry",Professional Services,Brazil,45,Low,0.46
V00064,Murphy-Johnson,Marketing,Indonesia,30,Low,0.2015
V00065,"King, Fowler and Webster",Logistics,Germany,30,High,0.4418
V00066,"Johns, Johnson and Krause",Raw Materials,Brazil,30,Medium,0.2744
V00067,Blackburn Group,IT Services,Brazil,45,Low,0.042
V00068,Wilson-Williams,IT Services,USA,30,Low,0.304
V00069,Le and Sons,Professional Services,India,45,Low,0.0855
V00070,Mcdowell-Barnes,Facilities,UK,45,Low,0.0665
V00071,Welch and Sons,Raw Materials,USA,60,Medium,0.2086
V00072,Garcia-Newton,Marketing,UK,60,High,0.2778
V00073,"Leonard, Myers and Anderson",Facilities,South Africa,60,High,0.4857
V00074,Valdez Inc,Marketing,USA,30,High,0.2598
V00075,Robinson-Ford,Marketing,India,60,High,0.2366
V00076,"Avery, Jordan and Smith",Facilities,USA,45,High,0.2506
V00077,Vaughn-Williams,IT Services,USA,45,Low,0.2447
V00078,Smith PLC,IT Services,Germany,60,Low,0.0446
V00079,"Mitchell, Huff and Garcia",Marketing,Brazil,30,Low,0.2432
V00080,Buckley-Robertson,Packaging,Indonesia,45,Medium,0.2075
V00081,Keller Group,Marketing,Germany,60,Low,0.2273
V00082,Hernandez Ltd,Professional Services,UK,60,Medium,0.1863
