feature,importance
num__sap_error_present_flag,0.13115251237054085
num__queue_age_days,0.10600802514737905
num__sap_contract_due_date_delta,0.10453648984774684
num__processor_manual_override_rate,0.10360123623750084
num__processor_early_release_rate,0.06565553102738363
num__manual_override_flag,0.06559014666753303
num__upr_flag,0.06372112746315699
num__vendor_early_payment_rate,0.04424407236803337
num__upr_documented_flag,0.04012114416871201
num__amount_log,0.0363650436258417
cat__invoice_priority_Medium,0.02648206231104047
cat__invoice_priority_Critical,0.025806429905679187
num__po_invoice_term_delta,0.01329090173903116
num__market_risk_score,0.012730686746715783
cat__invoice_priority_High,0.011716152622284965
cat__time_of_day_Morning,0.009997406077290771
cat__invoice_priority_Low,0.009145965051405613
num__payment_term_mismatch_flag,0.0070952917644785014
cat__time_of_day_Evening,0.00594273056669246
cat__payment_method_NEFT,0.004996176817266224
cat__time_of_day_Late Night,0.004934582283034436
num__weekend_release_flag,0.004639926168110471
cat__time_of_day_Afternoon,0.0045035694518194246
num__month_end_flag,0.004438070176538582
cat__currency_EUR,0.00415016498024482
cat__approval_status_Approved,0.004062776885900484
cat__payment_method_Wire,0.004060654703115662
cat__currency_ZAR,0.003938078020070858
cat__amount_band_High,0.003847522273669784
num__approval_risk_score,0.0037898787548994242
num__high_value_invoice_flag,0.003737017307067521
cat__amount_band_Medium,0.003722432483905475
cat__amount_band_Very High,0.003712149686909415
cat__payment_method_ACH,0.003622838967554663
cat__market_UK,0.0035475650449668214
cat__market_USA,0.0035048236072146607
cat__market_South Africa,0.003492142907285511
cat__currency_BRL,0.003473438411066865
cat__currency_GBP,0.0034221321606542066
cat__currency_USD,0.0033897054894853795
cat__approval_status_Pending,0.0032769717868677095
cat__currency_INR,0.0032049514069546464
cat__payment_method_SEPA,0.0030411279486213427
cat__market_Mexico,0.0029985441667491307
cat__amount_band_Low,0.0026226909548562696
cat__market_India,0.0025249622589936494
cat__currency_IDR,0.00247236105055293
cat__market_Brazil,0.002456537845046085
cat__payment_method_Cheque,0.0023982533446094715
cat__market_Germany,0.0022604476986002983
cat__market_Indonesia,0.0022526306267571326
cat__approval_status_Rejected,0.0022296782095970755
cat__currency_MXN,0.0020722404125664887
