feature,coefficient,abs_coefficient
root_cause_label_System error,2.701724845378808,2.701724845378808
root_cause_label_UPR,-2.620901177269978,2.620901177269978
payment_term_mismatch_flag,1.8221078182607238,1.8221078182607238
sap_error_present_flag,1.2309444437910542,1.2309444437910542
high_value_invoice_flag,0.3231283797837638,0.3231283797837638
agreement_type_Strategic,-0.1803514725610902,0.1803514725610902
processor_manual_override_rate,-0.1367136837147135,0.1367136837147135
invoice_priority_Low,0.12868849142023206,0.12868849142023206
market_UK,-0.12651674111794847,0.12651674111794847
root_cause_label_Behavioural,0.11956359276997838,0.11956359276997838
agreement_type_Exception,0.11713456215051002,0.11713456215051002
invoice_priority_Critical,-0.10916710625497834,0.10916710625497834
market_Brazil,0.10709159815244634,0.10709159815244634
root_cause_label_Not applicable / on-time,-0.10317178834223464,0.10317178834223464
market_Germany,-0.0999706707365262,0.0999706707365262
root_cause_label_Insufficient audit trail,-0.0972154725365908,0.0972154725365908
invoice_priority_High,-0.09303415868247285,0.09303415868247285
market_USA,-0.07903023931352773,0.07903023931352773
market_India,0.0748922912638474,0.0748922912638474
invoice_priority_Medium,0.07351277351731547,0.07351277351731547
agreement_type_Standard,0.06321691041061228,0.06321691041061228
market_Indonesia,0.05236779104701971,0.05236779104701971
market_risk_score,0.052295748776261454,0.052295748776261454
market_Mexico,0.041880241575508174,0.041880241575508174
market_South Africa,0.029285729129466045,0.029285729129466045
upr_flag,0.02910489767951909,0.02910489767951909
vendor_early_payment_rate,-0.02577029424810414,0.02577029424810414
amount_log,0.012575416328402977,0.012575416328402977
queue_age_days,-0.004074696021681429,0.004074696021681429
vendor_payment_term,-0.002815185049745861,0.002815185049745861
