feature,importance
num__sap_error_present_flag,0.13115251237054085
num__queue_age_days,0.10600802514737905
num__sap_contract_due_date_delta,0.10453648984774684
num__processor_manual_override_rate,0.10360123623750084
num__processor_early_release_rate,0.06565553102738363
num__manual_override_flag,0.06559014666753303
num__upr_flag,0.06372112746315699
num__vendor_early_payment_rate,0.04424407236803337
num__upr_documented_flag,0.04012114416871201
num__amount_log,0.0363650436258417
cat__invoice_priority_Medium,0.02648206231104047
cat__invoice_priority_Critical,0.025806429905679187
num__po_invoice_term_delta,0.01329090173903116
num__market_risk_score,0.012730686746715783
cat__invoice_priority_High,0.011716152622284965
cat__time_of_day_Morning,0.009997406077290771
cat__invoice_priority_Low,0.009145965051405613
num__payment_term_mismatch_flag,0.0070952917644785014
cat__time_of_day_Evening,0.00594273056669246
cat__payment_method_NEFT,0.004996176817266224
cat__time_of_day_Late Night,0.004934582283034436
num__weekend_release_flag,0.004639926168110471
cat__time_of_day_Afternoon,0.0045035694518194246
num__month_end_flag,0.004438070176538582
cat__currency_EUR,0.00415016498024482
cat__approval_status_Approved,0.004062776885900484
cat__payment_method_Wire,0.004060654703115662
cat__currency_ZAR,0.003938078020070858
cat__amount_band_High,0.003847522273669784
num__approval_risk_score,0.0037898787548994242
