ds,early_payment_count,early_payment_value,forecast_type,retained_value_intervention,working_capital_leakage,future_leakage_without_intervention,future_retained_with_intervention
2025-01-01,39,2018854.66,Historical,807541.8640000001,2018854.66,2018854.66,807541.8640000001
2025-02-01,109,5236684.68,Historical,2094673.872,5236684.68,5236684.68,2094673.872
2025-03-01,167,7826443.0,Historical,3130577.2,7826443.0,7826443.0,3130577.2
2025-04-01,145,5544551.0600000005,Historical,2217820.424,5544551.0600000005,5544551.0600000005,2217820.424
2025-05-01,156,5821599.47,Historical,2328639.788,5821599.47,5821599.47,2328639.788
2025-06-01,163,7898544.77,Historical,3159417.908,7898544.77,7898544.77,3159417.908
2025-07-01,161,8871773.59,Historical,3548709.436,8871773.59,8871773.59,3548709.436
2025-08-01,169,8392681.45,Historical,3357072.58,8392681.45,8392681.45,3357072.58
2025-09-01,183,9492987.14,Historical,3797194.8560000006,9492987.14,9492987.14,3797194.8560000006
2025-10-01,171,6625008.64,Historical,2650003.4560000002,6625008.64,6625008.64,2650003.4560000002
2025-11-01,155,6636231.11,Historical,2654492.444,6636231.11,6636231.11,2654492.444
2025-12-01,203,6964736.76,Historical,2785894.704,6964736.76,6964736.76,2785894.704
2026-01-01,186,18520553.36,Historical,7408221.3440000005,18520553.36,18520553.36,7408221.3440000005
2026-02-01,143,6445088.67,Historical,2578035.4680000003,6445088.67,6445088.67,2578035.4680000003
2026-03-01,172,7608310.51,Historical,3043324.204,7608310.51,7608310.51,3043324.204
2026-04-01,113,5725228.100000001,Historical,2290091.24,5725228.100000001,5725228.100000001,2290091.24
2026-05-01,45,933103.84,Historical,373241.536,933103.84,933103.84,373241.536
2026-06-01,5,190179.28,Historical,76071.712,190179.28,190179.28,76071.712
2026-07-01,55,2305665.44,Forecast - No Intervention,922266.176,2305665.44,2305665.44,922266.176
2026-08-01,55,2328493.81,Forecast - No Intervention,931397.5240000001,2328493.81,2328493.81,931397.5240000001
2026-09-01,56,2351322.19,Forecast - No Intervention,940528.876,2351322.19,2351322.19,940528.876
2026-10-01,57,2374150.56,Forecast - No Intervention,949660.224,2374150.56,2374150.56,949660.224
2026-11-01,57,2396978.93,Forecast - No Intervention,958791.5720000002,2396978.93,2396978.93,958791.5720000002
2026-12-01,58,2419807.3,Forecast - No Intervention,967922.9199999999,2419807.3,2419807.3,967922.9199999999
