invoice_id,extracted_due_date_raw,extracted_due_date,extracted_payment_term_raw,extracted_payment_term,extracted_vendor_id,extracted_invoice_amount_raw,extracted_invoice_amount,extracted_invoice_date_raw,extracted_invoice_date,extracted_po_number,extracted_currency,extracted_contract_reference,ground_truth_due_date,ground_truth_payment_term,ground_truth_vendor_id,ground_truth_invoice_amount,ground_truth_invoice_date,ground_truth_po_number,ground_truth_currency,ground_truth_contract_reference
INV00000001,2025-07-28,2025-07-28,60,60.0,V00369,27783.57,27783.57,2025-05-22,2025-05-22,PO0000841,ZAR,CT000369,2025-07-28,60,V00369,27783.57,2025-05-22,PO0000841,ZAR,CT000369
INV00000002,24/01/2026,2026-01-24,30,30.0,V00250,127965.18,127965.18,2025-12-18,2025-12-18,PO0000870,ZAR,CT000250,2026-01-24,30,V00250,127965.18,2025-12-18,PO0000870,ZAR,CT000250
INV00000003,2026-03-27,2026-03-27,60,60.0,V00129,83082.22,83082.22,2026-01-20,2026-01-20,PO0001068,MXN,,2026-03-27,60,V00129,83082.22,2026-01-20,PO0001068,MXN,CT000129
INV00000004,2025-09-01,2025-09-01,45,45.0,V00402,"37,370.46",37370.46,17/07/2025,2025-07-17,PO0000134,USD,CT000402,2025-09-01,45,V00402,37370.46,2025-07-17,PO0000134,USD,CT000402
INV00000005,2026-05-22,2026-05-22,60,60.0,V00201,,,2026-03-21,2026-03-21,PO0001060,INR,CT000201,2026-05-22,60,V00201,1303.14,2026-03-21,PO0001060,INR,CT000201
INV00000006,2025-08-28,2025-08-28,30,30.0,V00175,"2,303.59",2303.59,2025-07-24,2025-07-24,PO0000395,USD,CT000175,2025-08-28,30,V00175,2303.59,2025-07-24,PO0000395,USD,CT000175
INV00000007,2025-03-25,2025-03-25,30,30.0,V00009,49879.80,49879.8,2025-02-23,2025-02-23,PO0000071,BRL,CT000009,2025-03-25,30,V00009,49879.8,2025-02-23,PO0000071,BRL,CT000009
INV00000008,2026-03-26,2026-03-26,30,30.0,V00419,89352.29,89352.29,2026-02-18,2026-02-18,,MXN,CT000419,2026-03-26,30,V00419,89352.29,2026-02-18,PO0000686,MXN,CT000419
INV00000009,2025-08-31,2025-08-31,60,60.0,V00356,29185.33,29185.33,2025-06-29,2025-06-29,PO0000627,BRL,CT000356,2025-08-31,60,V00356,29185.33,2025-06-29,PO0000627,BRL,CT000356
INV00000010,2026-04-08,2026-04-08,60,60.0,V00075,"11,838.84",11838.84,2026-02-07,2026-02-07,PO0001171,USD,CT000075,2026-04-08,60,V00075,11838.84,2026-02-07,PO0001171,USD,CT000075
INV00000011,2026-02-01,2026-02-01,60,60.0,V00399,67502.24,67502.24,2025-12-01,2025-12-01,PO0000520,GBP,CT000399,2026-02-01,60,V00399,67502.24,2025-12-01,PO0000520,GBP,CT000399
INV00000012,,,60,60.0,V00335,35999.97,35999.97,2026-03-04,2026-03-04,PO0000595,EUR,CT000335,2026-05-06,60,V00335,35999.97,2026-03-04,PO0000595,EUR,CT000335
INV00000013,,,60,60.0,V00177,53869.38,53869.38,2025-10-21,2025-10-21,PO0000477,INR,CT000177,2025-12-25,60,V00177,53869.38,2025-10-21,PO0000477,INR,CT000177
INV00000014,30/11/2025,2025-11-30,60,60.0,V00390,"2,322.97",2322.97,2025-09-27,2025-09-27,PO0001082,GBP,CT000390,2025-11-30,60,V00390,2322.97,2025-09-27,PO0001082,GBP,CT000390
INV00000015,2025-05-19,2025-05-19,30,30.0,V00195,23400.37,23400.37,2025-04-17,2025-04-17,PO0000044,MXN,CT000195,2025-05-19,30,V00195,23400.37,2025-04-17,PO0000044,MXN,CT000195
INV00000016,,,45,45.0,V00289,105166.46,105166.46,2025-05-08,2025-05-08,PO0000249,EUR,CT000289,2025-06-26,45,V00289,105166.46,2025-05-08,PO0000249,EUR,CT000289
INV00000017,2025-07-21,2025-07-21,45,45.0,V00077,28390.81,28390.81,2025-05-30,2025-05-30,PO0000281,GBP,CT000077,2025-07-21,45,V00077,28390.81,2025-05-30,PO0000281,GBP,CT000077
INV00000018,2025-08-21,2025-08-21,90,90.0,V00046,44163.63,44163.63,2025-05-21,2025-05-21,PO0000122,EUR,CT000046,2025-08-21,90,V00046,44163.63,2025-05-21,PO0000122,EUR,CT000046
INV00000019,2025-11-29,2025-11-29,60,60.0,V00222,16952.86,16952.86,2025-09-28,2025-09-28,PO0000684,ZAR,CT000222,2025-11-29,60,V00222,16952.86,2025-09-28,PO0000684,ZAR,CT000222
INV00000020,,,45,45.0,V00138,110394.42,110394.42,2026-01-31,2026-01-31,PO0000717,GBP,CT000138,2026-03-17,45,V00138,110394.42,2026-01-31,PO0000717,GBP,CT000138
INV00000021,2025-03-21,2025-03-21,60,60.0,V00040,71157.71,71157.71,2025-01-17,2025-01-17,PO0000688,ZAR,CT000040,2025-03-21,60,V00040,71157.71,2025-01-17,PO0000688,ZAR,CT000040
INV00000022,2025-11-10,2025-11-10,30,30.0,V00036,8076.57,8076.57,2025-10-09,2025-10-09,PO0001063,IDR,CT000036,2025-11-10,30,V00036,8076.57,2025-10-09,PO0001063,IDR,CT000036
INV00000023,2026-01-16,2026-01-16,30,30.0,V00321,7287.96,7287.96,2025-12-11,2025-12-11,PO0000235,GBP,CT000321,2026-01-16,30,V00321,7287.96,2025-12-11,PO0000235,GBP,CT000321
INV00000024,2025-10-19,2025-10-19,90,90.0,V00253,9876.12,9876.12,21/07/2025,2025-07-21,PO0000793,BRL,CT000253,2025-10-19,90,V00253,9876.12,2025-07-21,PO0000793,BRL,CT000253
INV00000025,2025-06-09,2025-06-09,30,30.0,V00141,16724.31,16724.31,2025-05-06,2025-05-06,PO0000144,USD,CT000141,2025-06-09,30,V00141,16724.31,2025-05-06,PO0000144,USD,CT000141
INV00000026,2025-09-05,2025-09-05,45,45.0,V00420,"3,009.13",3009.13,2025-07-16,2025-07-16,PO0001208,ZAR,CT000420,2025-09-05,45,V00420,3009.13,2025-07-16,PO0001208,ZAR,CT000420
INV00000027,2026-02-13,2026-02-13,30,30.0,V00366,237456.95,237456.95,2026-01-12,2026-01-12,PO0000733,ZAR,CT000366,2026-02-13,30,V00366,237456.95,2026-01-12,PO0000733,ZAR,CT000366
INV00000028,07/04/2026,2026-04-07,45,45.0,V00158,"13,732.78",13732.78,2026-02-21,2026-02-21,PO0001001,GBP,CT000158,2026-04-07,45,V00158,13732.78,2026-02-21,PO0001001,GBP,CT000158
INV00000029,2026-01-12,2026-01-12,60,60.0,V00293,39989.56,39989.56,2025-11-08,2025-11-08,PO0000566,EUR,CT000293,2026-01-12,60,V00293,39989.56,2025-11-08,PO0000566,EUR,CT000293
INV00000030,2025-09-27,2025-09-27,45,45.0,V00069,1763.36,1763.36,2025-08-09,2025-08-09,PO0000282,INR,CT000069,2025-09-27,45,V00069,1763.36,2025-08-09,PO0000282,INR,CT000069
INV00000031,2026-01-23,2026-01-23,90,90.0,V00205,40150.86,40150.86,2025-10-21,2025-10-21,PO0000137,MXN,CT000205,2026-01-23,90,V00205,40150.86,2025-10-21,PO0000137,MXN,CT000205
INV00000032,2025-12-12,2025-12-12,30,30.0,,66419.08,66419.08,2025-11-05,2025-11-05,PO0000668,IDR,CT000113,2025-12-12,30,V00113,66419.08,2025-11-05,PO0000668,IDR,CT000113
INV00000033,2026-01-15,2026-01-15,30,30.0,V00106,"25,860.58",25860.58,2025-12-16,2025-12-16,PO0001018,USD,CT000106,2026-01-15,30,V00106,25860.58,2025-12-16,PO0001018,USD,CT000106
INV00000034,2025-04-07,2025-04-07,30,30.0,V00240,"16,840.13",16840.13,2025-03-07,2025-03-07,,USD,CT000240,2025-04-07,30,V00240,16840.13,2025-03-07,PO0000009,USD,CT000240
INV00000035,2025-03-24,2025-03-24,45,45.0,V00054,40475.96,40475.96,2025-02-04,2025-02-04,PO0000052,EUR,CT000054,2025-03-24,45,V00054,40475.96,2025-02-04,PO0000052,EUR,CT000054
INV00000036,2025-07-26,2025-07-26,45,45.0,V00239,62006.82,62006.82,2025-06-07,2025-06-07,PO0000060,MXN,CT000239,2025-07-26,45,V00239,62006.82,2025-06-07,PO0000060,MXN,CT000239
INV00000037,05/06/2025,2025-06-05,30,30.0,V00169,28256.33,28256.33,2025-04-29,2025-04-29,PO0000131,GBP,CT000169,2025-06-05,30,V00169,28256.33,2025-04-29,PO0000131,GBP,CT000169
INV00000038,2025-11-10,2025-11-10,30,30.0,V00097,"30,562.32",30562.32,2025-10-07,2025-10-07,PO0000244,ZAR,CT000097,2025-11-10,30,V00097,30562.32,2025-10-07,PO0000244,ZAR,CT000097
INV00000039,2025-10-26,2025-10-26,60,60.0,V00237,92947.40,92947.4,2025-08-26,2025-08-26,PO0000348,GBP,CT000237,2025-10-26,60,V00237,92947.4,2025-08-26,PO0000348,GBP,CT000237
INV00000040,29/04/2026,2026-04-29,60,60.0,V00316,146605.86,146605.86,2026-02-22,2026-02-22,PO0000088,ZAR,CT000316,2026-04-29,60,V00316,146605.86,2026-02-22,PO0000088,ZAR,CT000316
INV00000041,2026-01-22,2026-01-22,30,30.0,V00298,7042.57,7042.57,2025-12-20,2025-12-20,PO0000380,ZAR,CT000298,2026-01-22,30,V00298,7042.57,2025-12-20,PO0000380,ZAR,CT000298
INV00000042,2025-06-13,2025-06-13,90,90.0,V00037,61695.98,61695.98,2025-03-09,2025-03-09,PO0000571,IDR,CT000037,2025-06-13,90,V00037,61695.98,2025-03-09,PO0000571,IDR,CT000037
INV00000043,2026-03-25,2026-03-25,60,60.0,V00237,"14,329.74",14329.74,2026-01-22,2026-01-22,PO0000348,EUR,CT000237,2026-03-25,60,V00237,14329.74,2026-01-22,PO0000348,EUR,CT000237
INV00000044,2026-01-22,2026-01-22,30,30.0,V00262,16897.94,16897.94,2025-12-17,2025-12-17,PO0000381,USD,CT000262,2026-01-22,30,V00262,16897.94,2025-12-17,PO0000381,USD,CT000262
INV00000045,26/08/2025,2025-08-26,60,60.0,V00288,"18,255.55",18255.55,2025-06-23,2025-06-23,PO0000184,EUR,CT000288,2025-08-26,60,V00288,18255.55,2025-06-23,PO0000184,EUR,CT000288
INV00000046,2025-05-01,2025-05-01,90,90.0,V00179,45130.40,45130.4,2025-01-27,2025-01-27,,IDR,CT000179,2025-05-01,90,V00179,45130.4,2025-01-27,PO0000347,IDR,CT000179
INV00000047,2026-03-05,2026-03-05,,,V00040,102364.53,102364.53,2025-12-28,2025-12-28,PO0000688,IDR,CT000040,2026-03-05,60,V00040,102364.53,2025-12-28,PO0000688,IDR,CT000040
INV00000048,2025-05-14,2025-05-14,45,45.0,V00054,16741.44,16741.44,2025-03-29,2025-03-29,PO0000779,ZAR,CT000054,2025-05-14,45,V00054,16741.44,2025-03-29,PO0000779,ZAR,CT000054
INV00000049,2025-05-28,2025-05-28,45,45.0,V00140,100491.18,100491.18,,,PO0000988,ZAR,CT000140,2025-05-28,45,V00140,100491.18,2025-04-11,PO0000988,ZAR,CT000140
